;or;ex;weight
410;9_t1;2_t2;12.522486686706543
411;9_t1;6_t2;12.37807846069336
412;9_t1;9_t2;11.965773582458496
413;9_t1;10_t2;15.579704284667969
414;9_t1;11_t2;15.579704284667969
415;9_t1;12_t2;15.579704284667969
416;9_t1;13_t2;15.579704284667969
417;9_t1;15_t2;11.994483947753906
418;9_t1;18_t2;15.579704284667969
419;9_t1;19_t2;15.579704284667969
420;9_t1;21_t2;15.579704284667969
421;9_t1;22_t2;15.579704284667969
422;9_t1;25_t2;15.579704284667969
423;9_t1;26_t2;15.579704284667969
424;21_t1;1_t2;14.78490161895752
425;21_t1;2_t2;12.522486686706543
426;21_t1;6_t2;12.37807846069336
427;21_t1;9_t2;11.965773582458496
428;21_t1;10_t2;15.579704284667969
429;21_t1;12_t2;15.579704284667969
430;21_t1;15_t2;11.994483947753906
431;21_t1;18_t2;15.579704284667969
432;21_t1;21_t2;15.579704284667969
433;21_t1;23_t2;15.579704284667969
434;21_t1;24_t2;15.579704284667969
435;21_t1;25_t2;15.579704284667969
436;21_t1;28_t2;15.579704284667969
437;21_t1;29_t2;15.579704284667969
438;21_t1;30_t2;15.579704284667969
439;22_t1;1_t2;14.78490161895752
440;22_t1;2_t2;12.522486686706543
441;22_t1;6_t2;12.37807846069336
442;22_t1;9_t2;11.965773582458496
443;22_t1;11_t2;15.579704284667969
444;22_t1;13_t2;15.579704284667969
445;22_t1;15_t2;11.994483947753906
446;22_t1;19_t2;15.579704284667969
447;22_t1;22_t2;15.579704284667969
448;22_t1;23_t2;15.579704284667969
449;22_t1;24_t2;15.579704284667969
450;22_t1;26_t2;15.579704284667969
451;22_t1;28_t2;15.579704284667969
452;22_t1;29_t2;15.579704284667969
453;22_t1;30_t2;15.579704284667969
454;2_t1;2_t2;12.522486686706543
455;2_t1;3_t2;16.04669952392578
456;2_t1;4_t2;15.414306640625
457;2_t1;6_t2;12.37807846069336
458;2_t1;9_t2;11.965773582458496
459;2_t1;12_t2;15.579704284667969
460;2_t1;13_t2;15.579704284667969
461;2_t1;15_t2;11.994483947753906
462;2_t1;18_t2;15.579704284667969
463;2_t1;19_t2;15.579704284667969
464;2_t1;21_t2;15.579704284667969
465;2_t1;22_t2;15.579704284667969
466;2_t1;25_t2;15.579704284667969
467;2_t1;26_t2;15.579704284667969
468;12_t1;2_t2;12.522486686706543
469;12_t1;3_t2;16.04669952392578
470;12_t1;6_t2;12.37807846069336
471;12_t1;9_t2;11.965773582458496
472;12_t1;12_t2;15.579704284667969
473;12_t1;14_t2;15.974553108215332
474;12_t1;15_t2;11.994483947753906
475;12_t1;18_t2;15.579704284667969
476;12_t1;21_t2;15.579704284667969
477;12_t1;24_t2;15.579704284667969
478;12_t1;25_t2;15.579704284667969
479;12_t1;28_t2;15.579704284667969
480;12_t1;29_t2;15.579704284667969
481;12_t1;30_t2;15.579704284667969
482;13_t1;2_t2;12.522486686706543
483;13_t1;4_t2;15.414306640625
484;13_t1;6_t2;12.37807846069336
485;13_t1;9_t2;11.965773582458496
486;13_t1;13_t2;15.579704284667969
487;13_t1;14_t2;15.974553108215332
488;13_t1;15_t2;11.994483947753906
489;13_t1;19_t2;15.579704284667969
490;13_t1;22_t2;15.579704284667969
491;13_t1;24_t2;15.579704284667969
492;13_t1;26_t2;15.579704284667969
493;13_t1;28_t2;15.579704284667969
494;13_t1;29_t2;15.579704284667969
495;13_t1;30_t2;15.579704284667969
496;15_t1;2_t2;12.522486686706543
497;15_t1;5_t2;15.280320167541504
498;15_t1;6_t2;12.37807846069336
499;15_t1;9_t2;11.965773582458496
500;15_t1;12_t2;15.579704284667969
501;15_t1;13_t2;15.579704284667969
502;15_t1;15_t2;11.994483947753906
503;15_t1;16_t2;15.579704284667969
504;15_t1;17_t2;15.579704284667969
505;15_t1;18_t2;15.579704284667969
506;15_t1;19_t2;15.579704284667969
507;15_t1;21_t2;15.579704284667969
508;15_t1;22_t2;15.579704284667969
509;15_t1;25_t2;15.579704284667969
510;15_t1;26_t2;15.579704284667969
511;25_t1;2_t2;12.522486686706543
512;25_t1;5_t2;15.280320167541504
513;25_t1;6_t2;12.37807846069336
514;25_t1;9_t2;11.965773582458496
515;25_t1;12_t2;15.579704284667969
516;25_t1;15_t2;11.994483947753906
517;25_t1;16_t2;15.579704284667969
518;25_t1;18_t2;15.579704284667969
519;25_t1;21_t2;15.579704284667969
520;25_t1;24_t2;15.579704284667969
521;25_t1;25_t2;15.579704284667969
522;25_t1;27_t2;15.579704284667969
523;25_t1;28_t2;15.579704284667969
524;25_t1;29_t2;15.579704284667969
525;25_t1;30_t2;15.579704284667969
526;26_t1;2_t2;12.522486686706543
527;26_t1;5_t2;15.280320167541504
528;26_t1;6_t2;12.37807846069336
529;26_t1;9_t2;11.965773582458496
530;26_t1;13_t2;15.579704284667969
531;26_t1;15_t2;11.994483947753906
532;26_t1;17_t2;15.579704284667969
533;26_t1;19_t2;15.579704284667969
534;26_t1;22_t2;15.579704284667969
535;26_t1;24_t2;15.579704284667969
536;26_t1;26_t2;15.579704284667969
537;26_t1;27_t2;15.579704284667969
538;26_t1;28_t2;15.579704284667969
539;26_t1;29_t2;15.579704284667969
540;26_t1;30_t2;15.579704284667969
541;14_t1;3_t2;16.04669952392578
542;14_t1;4_t2;15.414306640625
543;14_t1;7_t2;15.579704284667969
544;14_t1;8_t2;15.579704284667969
545;14_t1;10_t2;15.579704284667969
546;14_t1;11_t2;15.579704284667969
547;14_t1;12_t2;15.579704284667969
548;14_t1;13_t2;15.579704284667969
549;14_t1;14_t2;15.974553108215332
550;14_t1;16_t2;15.579704284667969
551;14_t1;17_t2;15.579704284667969
552;14_t1;20_t2;15.579704284667969
553;14_t1;23_t2;15.579704284667969
554;14_t1;24_t2;15.579704284667969
555;14_t1;27_t2;15.579704284667969
556;20_t1;3_t2;16.04669952392578
557;20_t1;4_t2;15.414306640625
558;20_t1;7_t2;15.579704284667969
559;20_t1;8_t2;15.579704284667969
560;20_t1;10_t2;15.579704284667969
561;20_t1;11_t2;15.579704284667969
562;20_t1;14_t2;15.974553108215332
563;20_t1;16_t2;15.579704284667969
564;20_t1;17_t2;15.579704284667969
565;20_t1;18_t2;15.579704284667969
566;20_t1;19_t2;15.579704284667969
567;20_t1;20_t2;15.579704284667969
568;20_t1;23_t2;15.579704284667969
569;20_t1;27_t2;15.579704284667969
570;20_t1;28_t2;15.579704284667969
571;23_t1;3_t2;16.04669952392578
572;23_t1;4_t2;15.414306640625
573;23_t1;7_t2;15.579704284667969
574;23_t1;8_t2;15.579704284667969
575;23_t1;10_t2;15.579704284667969
576;23_t1;11_t2;15.579704284667969
577;23_t1;14_t2;15.974553108215332
578;23_t1;16_t2;15.579704284667969
579;23_t1;17_t2;15.579704284667969
580;23_t1;20_t2;15.579704284667969
581;23_t1;21_t2;15.579704284667969
582;23_t1;22_t2;15.579704284667969
583;23_t1;23_t2;15.579704284667969
584;23_t1;27_t2;15.579704284667969
585;23_t1;29_t2;15.579704284667969
586;24_t1;3_t2;16.04669952392578
587;24_t1;4_t2;15.414306640625
588;24_t1;12_t2;15.579704284667969
589;24_t1;13_t2;15.579704284667969
590;24_t1;14_t2;15.974553108215332
591;24_t1;18_t2;15.579704284667969
592;24_t1;19_t2;15.579704284667969
593;24_t1;21_t2;15.579704284667969
594;24_t1;22_t2;15.579704284667969
595;24_t1;24_t2;15.579704284667969
596;24_t1;25_t2;15.579704284667969
597;24_t1;26_t2;15.579704284667969
598;24_t1;28_t2;15.579704284667969
599;24_t1;29_t2;15.579704284667969
600;24_t1;30_t2;15.579704284667969
601;27_t1;3_t2;16.04669952392578
602;27_t1;4_t2;15.414306640625
603;27_t1;7_t2;15.579704284667969
604;27_t1;8_t2;15.579704284667969
605;27_t1;10_t2;15.579704284667969
606;27_t1;11_t2;15.579704284667969
607;27_t1;14_t2;15.974553108215332
608;27_t1;16_t2;15.579704284667969
609;27_t1;17_t2;15.579704284667969
610;27_t1;20_t2;15.579704284667969
611;27_t1;23_t2;15.579704284667969
612;27_t1;25_t2;15.579704284667969
613;27_t1;26_t2;15.579704284667969
614;27_t1;27_t2;15.579704284667969
615;27_t1;30_t2;15.579704284667969
616;28_t1;7_t2;15.579704284667969
617;28_t1;8_t2;15.579704284667969
618;28_t1;12_t2;15.579704284667969
619;28_t1;13_t2;15.579704284667969
620;28_t1;18_t2;15.579704284667969
621;28_t1;19_t2;15.579704284667969
622;28_t1;20_t2;15.579704284667969
623;28_t1;21_t2;15.579704284667969
624;28_t1;22_t2;15.579704284667969
625;28_t1;24_t2;15.579704284667969
626;28_t1;25_t2;15.579704284667969
627;28_t1;26_t2;15.579704284667969
628;28_t1;28_t2;15.579704284667969
629;28_t1;29_t2;15.579704284667969
630;28_t1;30_t2;15.579704284667969
631;29_t1;10_t2;15.579704284667969
632;29_t1;11_t2;15.579704284667969
633;29_t1;12_t2;15.579704284667969
634;29_t1;13_t2;15.579704284667969
635;29_t1;18_t2;15.579704284667969
636;29_t1;19_t2;15.579704284667969
637;29_t1;21_t2;15.579704284667969
638;29_t1;22_t2;15.579704284667969
